2025-12-19 17:53:19.045075: Alert #2, Risk: 94
2025-12-19 17:53:19.108766: Alert #2, Risk: 94
2025-12-19 17:53:19.172877: Alert #2, Risk: 92
2025-12-19 17:53:19.235617: Alert #2, Risk: 92
2025-12-19 17:53:19.311120: Alert #2, Risk: 92
2025-12-19 17:53:19.376385: Alert #2, Risk: 92
2025-12-19 17:53:19.439473: Alert #2, Risk: 92
2025-12-19 17:53:19.505112: Alert #2, Risk: 92
2025-12-19 17:53:19.570261: Alert #2, Risk: 88
2025-12-19 17:53:19.632358: Alert #2, Risk: 84
2025-12-19 17:53:19.696491: Alert #2, Risk: 84
2025-12-19 17:53:19.761824: Alert #2, Risk: 82
2025-12-19 17:53:19.825369: Alert #2, Risk: 82
2025-12-19 17:53:19.890127: Alert #2, Risk: 82
2025-12-19 17:53:19.960032: Alert #2, Risk: 80
2025-12-19 17:53:20.023584: Alert #2, Risk: 80
2025-12-19 17:53:20.088430: Alert #2, Risk: 80
2025-12-19 17:53:20.152183: Alert #2, Risk: 78
2025-12-19 17:53:20.214521: Alert #2, Risk: 78
2025-12-19 17:53:20.278056: Alert #2, Risk: 78
2025-12-19 17:53:20.343898: Alert #2, Risk: 76
2025-12-19 17:53:20.408447: Alert #2, Risk: 80
2025-12-19 17:53:20.472406: Alert #2, Risk: 80
2025-12-19 17:53:20.536105: Alert #2, Risk: 80
2025-12-19 17:53:20.600004: Alert #2, Risk: 80
2025-12-19 17:53:20.669872: Alert #2, Risk: 80
2025-12-19 17:53:20.734531: Alert #2, Risk: 80
2025-12-19 17:53:20.798906: Alert #2, Risk: 80
